id,name_aegis,name_english,type
1196,Chrome_Twohand_Sword,Chrome Two-Handed Sword,Weapon
1197,P_Slayer3,Eden Slayer III,Weapon
1198,Hairtail,Cutlass,Weapon
1199,Ebony_Toe_Nail,Ebony Toe Nail,Weapon
1201,Knife,Knife,Weapon
1202,Knife_,Knife,Weapon
1203,Knife__,Knife,Weapon
1204,Cutter,Cutter,Weapon
1205,Cutter_,Cutter,Weapon
1206,Cutter__,Cutter,Weapon
1207,Main_Gauche,Main Gauche,Weapon
1208,Main_Gauche_,Main Gauche,Weapon
1209,Main_Gauche__,Main Gauche,Weapon
1210,Dirk,Dirk,Weapon
1211,Dirk_,Dirk,Weapon
1212,Dirk__,Dirk,Weapon
1213,Dagger,Dagger,Weapon
1214,Dagger_,Dagger,Weapon
1215,Dagger__,Dagger,Weapon
1216,Stiletto,Stiletto,Weapon
1217,Stiletto_,Stiletto,Weapon
1218,Stiletto__,Stiletto,Weapon
1219,Gladius,Gladius,Weapon
1220,Gladius_,Gladius,Weapon
1221,Gladius__,Gladius,Weapon
1222,Damascus,Damascus,Weapon
1223,Forturn_Sword,Fortune Sword,Weapon
1224,Sword_Breaker,Swordbreaker,Weapon
1225,Mail_Breaker,Mailbreaker,Weapon
1226,Damascus_,Damascus,Weapon
1227,Weeder_Knife,Weeder Knife,Weapon
1228,Combat_Knife,Combat Knife,Weapon
1229,Mama's_Knife,Kitchen Knife,Weapon
1230,House_Auger,Ice Pick,Weapon
1231,Bazerald,Bazerald,Weapon
1232,Assasin_Dagger,Assassin Dagger,Weapon
1233,Exercise,Exorciser,Weapon
1234,Moonlight_Sword,Moonlight Dagger,Weapon
1235,Azoth,Azoth,Weapon
1236,Sucsamad,Sucsamad,Weapon
1237,Grimtooth_,Grimtooth,Weapon
1238,Zeny_Knife,Zeny Knife,Weapon
1239,Poison_Knife,Poison Knife,Weapon
1240,Princess_Knife,Princess Knife,Weapon
1241,Cursed_Dagger,Cursed Dagger,Weapon
1242,Counter_Dagger,Dagger of Counter,Weapon
1243,Novice_Knife,Novice Main-Gauche,Weapon
1244,Holy_Dagger,Holy Dagger,Weapon
1245,Cinquedea,Cinquedea,Weapon
1246,Cinquedea_,Cinquedea,Weapon
1247,Kindling_Dagger,Kindle Dagger,Weapon
1248,Obsidian_Dagger,Obsidian Dagger,Weapon
1249,Fisherman's_Dagger,Fisherman's Dagger,Weapon
1250,Jur,Jur,Weapon
1251,Jur_,Jur,Weapon
1252,Katar,Katar,Weapon
1253,Katar_,Katar,Weapon
1254,Jamadhar,Jamadhar,Weapon
1255,Jamadhar_,Jamadhar,Weapon
1256,Katar_Of_Cold_Icicle,Katar of Frozen Icicle,Weapon
1257,Katar_Of_Thornbush,Katar of Quaking,Weapon
1258,Katar_Of_Raging_Blaze,Katar of Raging Blaze,Weapon
1259,Katar_Of_Piercing_Wind,Katar of Piercing Wind,Weapon
1260,Ghoul_Leg,Sharpened Legbone of Ghoul,Weapon
1261,Infiltrator,Infiltrator,Weapon
1262,Nail_Of_Loki,Loki's Nail,Weapon
1263,Unholy_Touch,Unholy Touch,Weapon
1264,Various_Jur,Specialty Jur,Weapon
1265,Bloody_Roar,Bloody Roar,Weapon
1266,Infiltrator_,Infiltrator,Weapon
1267,Infiltrator_C,Infiltrator,Weapon
1268,Wild_Beast_Claw,Wild Beast Claw,Weapon
1269,Inverse_Scale,Inverse Scale,Weapon
1270,Drill_Katar,Drill Katar,Weapon
1271,Blood_Tears,Blood Tears,Weapon
1272,Scratcher,Scratcher,Weapon
1273,Bloody_Roar_C,Refined Bloody Roar,Weapon
1274,Unholy_Touch_C,Refined Unholy Touch,Weapon
1275,Katar_Of_Cold_Icicle_,Katar of Frozen Icicle,Weapon
1276,Katar_Of_Thornbush_,Katar of Quaking,Weapon
1277,Katar_Of_Raging_Blaze_,Katar of Raging Blaze,Weapon
1278,Katar_Of_Piercing_Wind_,Katar of Piercing Wind,Weapon
1279,BF_Katar1,Brave Carnage Katar,Weapon
1280,BF_Katar2,Valorous Carnage Katar,Weapon
1281,Krieger_Katar1,Glorious Bloody Roar,Weapon
1282,Krieger_Katar2,Glorious Jamadhar,Weapon
1283,Katar_Of_Speed,Katar Of Speed,Weapon
1284,Krishna,Krishna,Weapon
1285,Cakram,Chakram,Weapon
1286,Jamadhar_C,Jamadhar,Weapon
1287,Durga,Durga,Weapon
1288,Bloody_Fear_C,Bloody Fear,Weapon
1289,P_Katar1,Eden Katar I,Weapon
1290,Agent_Katar,Agent Katar,Weapon
1291,Guillotine_Katar,Guillotine Katar,Weapon
1292,Upg_Katar,Upgrade Katar,Weapon
1293,Velum_Jamadhar,Vellum Jamadhar,Weapon
1294,Velum_Scare,Vellum Scale,Weapon
1295,Blood_Tears_,Blood Tears,Weapon
1296,Metal_Katar,Metal Katar,Weapon
1297,Inverse_Scale_,Inverse Scale,Weapon
1298,Shiver_Katar,Shiver Katar,Weapon
1299,TE_Woe_Katar,TE Woe Katar,Weapon
1300,Cleaver_,Cleaver,Weapon
1301,Axe,Axe,Weapon
1302,Axe_,Axe,Weapon
1303,Axe__,Axe,Weapon
1304,Orcish_Axe,Orcish Axe,Weapon
1305,Cleaver,Cleaver,Weapon
1306,War_Axe,War Axe,Weapon
1307,Windhawk,Windhawk,Weapon
1308,Golden_Axe,Golden Axe,Weapon
1309,Orcish_Axe_,Orcish Axe,Weapon
1310,Krieger_Onehand_Axe1,Glorious Cleaver,Weapon
1311,Vecer_Axe,Vecer Axe,Weapon
1312,Orcish_Axe_C,Orcish Axe,Weapon
1313,Tourist_Axe,Tourist Axe,Weapon
1314,F_Tomahawk_C,Rental Tomahawk,Weapon
1315,F_Right_Epsilon_C,Right Epsilon,Weapon
1316,Adventure_Axe,Adventure Axe,Weapon
1317,Academy_Axe,Academy Axe,Weapon
1318,Dofle_Axe,Deflation Axe,Weapon
1319,TE_Woe_Axe,TE Woe Axe,Weapon
1320,Diva_Axe,Diva Axe,Weapon
1321,Dofle_Axe_,Deflation Axe,Weapon
1322,Ru_Blue_Axe,Ru Blue Axe,Weapon
1323,Ru_Gold_Axe,Ru Gold Axe,Weapon
1324,War_Axe_S,War Axe,Weapon
1325,Mirage_Axe,Mirage Axe,Weapon
1326,War_Axe_IL,Illusion War Axe,Weapon
1327,Axe_Z,Axe,Weapon
1328,Blut_Axe,Brute Cleaver,Weapon
1329,Woe_One_Hand_Axe1_Z,Lesser Guild Member's Cleaver,Weapon
1330,Sunset_Buster,Sunset Buster,Weapon
1331,Variant_Axe,Abyss Axe,Weapon
1332,Octopus_Axe,Octopus Axe,Weapon
1333,Golden_Wrench,Golden Wrench,Weapon
1334,Ein_1HAXE,Grinder Axe,Weapon
1335,Cancer_Axe_J,Cancer Axe,Weapon
1336,G_Knight_Axe,Guardian Knight Axe,Weapon
1337,Golden_Wrench_J,Golden Wrench,Weapon
1339,Hauyne_Huuma_EXE,Hauyne Huuma,Weapon
1340,Arcanite_Hammer_EXE,Arcanite Hammer,Weapon
1341,Destruction_Axe,Destruction Axe,Weapon
1350,Comp_Avenger,[Not For Sale] Avenger,Weapon
1351,Battle_Axe,Battle Axe,Weapon
1352,Battle_Axe_,Battle Axe,Weapon
1353,Battle_Axe__,Battle Axe,Weapon
1354,Hammer,Hammer,Weapon
1355,Hammer_,Hammer,Weapon
1356,Hammer__,Hammer,Weapon
1357,Buster,Buster,Weapon
1358,Buster_,Buster,Weapon
1359,Buster__,Buster,Weapon
1360,Two_Handed_Axe,Two-Handed Axe,Weapon
1361,Two_Handed_Axe_,Two-Handed Axe,Weapon
1362,Two_Handed_Axe__,Two-Handed Axe,Weapon
1363,Brood_Axe,Bloody Axe,Weapon
1364,Great_Axe,Great Axe,Weapon
1365,Sabbath,Sabbath,Weapon
1366,Right_Epsilon,Light Epsilon,Weapon
1367,Slaughter,Slaughter,Weapon
1368,Tomahawk,Tomahawk,Weapon
1369,Guillotine,Guillotine,Weapon
1370,Doom_Slayer,Doom Slayer,Weapon
1371,Doom_Slayer_,Doom Slayer,Weapon
1372,Right_Epsilon_C,Light Epsilon,Weapon
1373,Brood_Axe_C,Refined Bloody Axe,Weapon
1374,Tomahawk_C,Tomahawk,Weapon
1375,Berdysz,Berdysz,Weapon
1376,Heart_Breaker,Heart Breaker,Weapon
1377,Hurricane_Fury,Hurricane's Fury,Weapon
1378,Great_Axe_C,Refined Great Axe,Weapon
1379,BF_Two_Handed_Axe1,Valorous Insane Battle Axe,Weapon
1380,BF_Two_Handed_Axe2,Brave Insane Battle Axe,Weapon
1381,N_Battle_Axe,Novice Battle Axe,Weapon
1382,Krieger_Twohand_Axe1,Glorious Two-Handed Axe,Weapon
1383,Holy_Celestial_Axe,Celestial Axe,Weapon
1384,Veteran_Axe,Veteran Axe,Weapon
1385,Bradium_Stonehammer,Bradium Stone Hammer,Weapon
1386,Doom_Slayer_I,Doom Slayer,Weapon
1387,Giant_Axe,Giant Axe,Weapon
1388,Two_Handed_Axe_C,Two-Handed Axe,Weapon
1389,E_Tomahawk_C,Tomahawk,Weapon
1390,E_Right_Epsilon_C,Light Epsilon,Weapon
1391,P_Two_Handed_Axe1,Eden Two-Handed Axe I,Weapon
1392,Ygnus_Stale,Ignus Steel,Weapon
1393,End_Sektura,End Sectora,Weapon
1394,Upg_Two_Handed_Axe,Upgrade Two-Handed Axe,Weapon
1395,Velum_Buster,Vellum Buster,Weapon
1396,Velum_Guillotine,Vellum Guillotine,Weapon
1397,Bradium_Stonehammer_,Bradium Stone Hammer,Weapon
1398,Metal_Two_Handed_Axe,Metal Two Handed Axe,Weapon
1399,TE_Woe_Two_Handed_Axe,TE Woe Two Handed Axe,Weapon
1400,Sinister_Spear,Vicious Mind Spear,Weapon
1401,Javelin,Javelin,Weapon
1402,Javelin_,Javelin,Weapon
1403,Javelin__,Javelin,Weapon
1404,Spear,Spear,Weapon
1405,Spear_,Spear,Weapon
1406,Spear__,Spear,Weapon
1407,Pike,Pike,Weapon
1408,Pike_,Pike,Weapon
1409,Pike__,Pike,Weapon
1410,Lance,Lance,Weapon
1411,Lance_,Lance,Weapon
1412,Lance__,Lance,Weapon
1413,Gungnir,Gungnir,Weapon
1414,Gelerdria,Gelerdria,Weapon
1415,Skewer,Brocca,Weapon
1416,Tjungkuletti,Tjungkuletti,Weapon
1417,Pole_Axe,Pole Axe,Weapon
1418,Gungnir_,Gungnir,Weapon
1419,Pole_Axe_C,Pole Axe,Weapon
1420,Long_Horn,Long Horn,Weapon
1421,Battle_Hook,Battle Hook,Weapon
1422,Hunting_Spear,Hunting Spear,Weapon
1423,Pole_XO,Pole XO,Weapon
1424,Skewer_C,Refined Brocca,Weapon
1425,BF_Spear1,Assaulter Spear,Weapon
1426,Krieger_Onehand_Spear1,Glorious Spear,Weapon
1427,Spear_Of_Excellent,Spear Of Excellent,Weapon
1428,Long_Horn_M,Long Horn,Weapon
1429,Hunting_Spear_M,Hunting Spear,Weapon
1430,Pike_C,Pike,Weapon
1431,F_Pole_Axe_C,Pole Axe,Weapon
1432,E_Pole_Axe_C,Pole Axe,Weapon
1433,Imperial_Spear,Imperial Spear,Weapon
1434,P_Sphere1,Eden Spear I,Weapon
1435,Cannon_Spear,Cannon Spear,Weapon
1436,Velum_Spear,Vellum Spear,Weapon
1437,TE_Woe_Pike,TE Woe Pike,Weapon
1438,Thanos_Spear,Thanos Spear,Weapon
1439,Half_BF_Spear1,Half BF Spear1,Weapon
1440,Battle_Hook_,Battle Hook,Weapon
1441,Ru_Blue_Spear,Ru Blue Spear,Weapon
1442,Ru_Gold_Spear,Ru Gold Spear,Weapon
1443,Scarlet_Spear,Crimson Spear,Weapon
1444,Spear_of_Trust,Thunder Spear,Weapon
1445,Spear_of_Trust2,[Rental] Hunting Spear,Weapon
1446,Thanos_Spear_J,Requiem Spear,Weapon
1447,Poison_Forged_Spear,Poison Forged Spear,Weapon
1448,UnrivaledSpear,Unrivaled Spear,Weapon
1449,Gelerdria_,Gelerdria,Weapon
1450,Sinister_Lance,Vicious Mind Lance,Weapon
1451,Guisarme,Guisarme,Weapon
1452,Guisarme_,Guisarme,Weapon
1453,Guisarme__,Guisarme,Weapon
1454,Glaive,Glaive,Weapon
1455,Glaive_,Glaive,Weapon
1456,Glaive__,Glaive,Weapon
1457,Partizan,Partizan,Weapon
1458,Partizan_,Partizan,Weapon
1459,Partizan__,Partizan,Weapon
1460,Trident,Trident,Weapon
1461,Trident_,Trident,Weapon
1462,Trident__,Trident,Weapon
1463,Halberd,Halberd,Weapon
1464,Halberd_,Halberd,Weapon
1465,Halberd__,Halberd,Weapon
1466,Crescent_Scythe,Crescent Scythe,Weapon
1467,Bill_Guisarme,Bill Guisarme,Weapon
1468,Zephyrus,Zephyrus,Weapon
1469,Longinus's_Spear,Longinus's Spear,Weapon
1470,Brionac,Brionac,Weapon
1471,Hell_Fire,Hellfire,Weapon
1472,Staff_Of_Soul,Soul Staff,Weapon
1473,Wizardy_Staff,Wizardry Staff,Weapon
1474,Gae_Bolg,Gae Bolg,Weapon
1475,Horseback_Lance,Equestrian's Spear,Weapon
1476,Crescent_Scythe_,Crescent Scythe,Weapon
1477,Spectral_Spear,Spectral Spear,Weapon
1478,Ahlspiess,Ahlspiess,Weapon
1479,Spectral_Spear_,Spectral Spear,Weapon
1480,Gae_Bolg_,Gae Bolg,Weapon
1481,Zephyrus_,Zephyrus,Weapon
1482,BF_Lance1,Assaulter Lance,Weapon
1483,Ivory_Lance,Ivory Lance,Weapon
1484,Cardo,Cardo,Weapon
1485,Battle_Fork,Battle Fork,Weapon
1486,Krieger_Twohand_Spear1,Glorious Lance,Weapon
1487,Lance_C,Lance,Weapon
1488,Ahlspiess_C,Ahlspiess,Weapon
1489,Spearfish_,Marlin,Weapon
1490,Giant_Lance,Gigantic Lance,Weapon
1491,Upg_Lance,Upgrade Lance,Weapon
1492,Velum_Glaive,Vellum Glaive,Weapon
1493,Metal_Lance,Metal Lance,Weapon
1494,Undine_Spear,Spear Of Odin,Weapon
1495,TE_Woe_Lance,TE Woe Lance,Weapon
1496,Thanos_Long_Spear,Thanos Long Spear,Weapon
1497,Hell_Fire_S,Hellfire,Weapon
1498,Scarlet_Lance,Crimson Lance,Weapon
1499,Thanos_Long_Spear_J,Requiem Lance,Weapon
1501,Club,Club,Weapon
1502,Club_,Club,Weapon
1503,Club__,Club,Weapon
1504,Mace,Mace,Weapon
1505,Mace_,Mace,Weapon
1506,Mace__,Mace,Weapon
1507,Smasher,Smasher,Weapon
1508,Smasher_,Smasher,Weapon
1509,Smasher__,Smasher,Weapon
1510,Flail,Flail,Weapon
1511,Flail_,Flail,Weapon
1512,Flail__,Flail,Weapon
1513,Morning_Star,Morning Star,Weapon
1514,Morning_Star_,Morning Star,Weapon
1515,Morning_Star__,Morning Star,Weapon
1516,Sword_Mace,Sword Mace,Weapon
1517,Sword_Mace_,Sword Mace,Weapon
1518,Sword_Mace__,Sword Mace,Weapon
1519,Chain,Chain,Weapon
1520,Chain_,Chain,Weapon
1521,Chain__,Chain,Weapon
1522,Stunner,Stunner,Weapon
1523,Spike,Spike,Weapon
1524,Golden_Mace,Golden Mace,Weapon
1525,Long_Mace,Long Mace,Weapon
1526,Slash,Slash,Weapon
1527,Quadrille,Quadrille,Weapon
1528,Grand_Cross,Grand Cross,Weapon
1529,Iron_Driver,Iron Driver,Weapon
1530,Mjolnir,Mjolnir,Weapon
1531,Spanner,Wrench,Weapon
1532,Stunner_,Stunner,Weapon
1533,Warrior_Balmung,Warrior's Balmung,Weapon
1534,Spanner_C,Wrench,Weapon
1535,Hollgrehenn_Hammer,Hollgrehenn's Hammer,Weapon
1536,Good_Morning_Star,Good Morning Star,Weapon
1537,Quadrille_C,Refined Quadrille,Weapon
1538,Spike_,Spike,Weapon
1539,Golden_Mace_,Golden Mace,Weapon
1540,Grand_Cross_,Grand Cross,Weapon
1541,Nemesis,Nemesis,Weapon
1542,BF_Morning_Star1,Valorous Battlefield Morning Star,Weapon
1543,BF_Morning_Star2,Brave Battlefield Morning Star,Weapon
1544,Lunakaligo,Lunakaligo,Weapon
1545,N_Mace,Novice Mace,Weapon
1546,Krieger_Onehand_Mace1,Glorious Morning Star,Weapon
1547,Mace_Of_Madness,Mace Of Madness,Weapon
1548,Veteran_Hammer,Veteran Hammer,Weapon
1549,Pilebuncker,Pile Bunker,Weapon
1550,Book,Book,Weapon
1551,Bible,Bible,Weapon
1552,Tablet,Tablet,Weapon
1553,Book_Of_Billows,Book of Billows,Weapon
1554,Book_Of_Mother_Earth,Book of Mother Earth,Weapon
1555,Book_Of_Blazing_Sun,Book of the Blazing Sun,Weapon
1556,Book_Of_Gust_Of_Wind,Book of Gust of Wind,Weapon
1557,Book_Of_The_Apocalypse,Book of the Apocalypse,Weapon
1558,Girl's_Diary,Girl's Diary,Weapon
1559,Legacy_Of_Dragon,Legacy of Dragon,Weapon
1560,Diary_Of_Great_Sage,Sage's Diary,Weapon
1561,Hardback,Hardcover Book,Weapon
1562,Bible_Of_Battlefield,Battlefield Textbook,Weapon
1563,Diary_Of_Great_Sage_C,Sage's Diary,Weapon
1564,Encyclopedia,Encyclopedia,Weapon
1565,Death_Note,Ledger of Death,Weapon
1566,Diary_Of_Great_Basil,Diary Of Great Basil,Weapon
1567,Hardback_C,Refined Hardcover Book,Weapon
1568,Book_Of_Billows_,Book of Billows,Weapon
1569,Book_Of_Mother_Earth_,Book of Mother Earth,Weapon
1570,Book_Of_Blazing_Sun_,Book of Blazing Sun,Weapon
1571,Book_Of_Gust_Of_Wind_,Book of Gust of Wind,Weapon
1572,Principles_Of_Magic,Principles of Magic,Weapon
1573,Ancient_Magic,Ancient Magic,Weapon
1574,BF_Book1,Brave Battle Strategy Book,Weapon
1575,BF_Book2,Valorous Battle Strategy Book,Weapon
1576,Krieger_Book1,Glorious Tablet,Weapon
1577,Krieger_Book2,Glorious Apocalypse,Weapon
1578,Book_Of_Prayer,Book Of Prayer,Weapon
1579,Death_Note_M,Book of the Dead,Weapon
1580,Encyclopedia_C,Giant Encyclopedia,Weapon
1581,F_Diary_Of_Great_Sage_C,Diary Of Great Sage,Weapon
1582,E_Diary_Of_Great_Sage_C,Diary Of Great Sage,Weapon
1583,P_Dic1,Eden Book I,Weapon
1584,Chilly_Spell_Book,Cold Magic Book,Weapon
1585,Upg_Book,Upgrade Book,Weapon
1586,Velum_Bible,Vellum Bible,Weapon
1587,Velum_Encyclopedia,Vellum Great Encyclopedia,Weapon
1588,Metal_Book,Metal Book,Weapon
1589,Legacy_Of_Dragon_,Legacy of Dragon,Weapon
1590,Snake_Encyclopedia,Daizenshu Dakatsu,Weapon
1591,TE_Woe_Book,TE Woe Book,Weapon
1592,Thor_Pedigree_Book,Thunder Pedigree Book,Weapon
1593,Book_Of_Destiny,Book of Destiny,Weapon
1594,Fire_Pedigree_Book,Flame Pedigree Book,Weapon
1595,Ice_Pedigree_Book,Ice Pedigree Book,Weapon
1596,Earth_Pedigree_Book,Earth Pedigree Book,Weapon
1597,Half_BF_Book2,Half BF Book2,Weapon
1598,Snake_Encyclopedia_,Daizenshu Dakatsu,Weapon
1599,Angra_Manyu,Angra Manyu,Weapon
1600,Sinister_Rod,Vicious Mind Rod,Weapon
1601,Rod,Rod,Weapon
1602,Rod_,Rod,Weapon
1603,Rod__,Rod,Weapon
1604,Wand,Wand,Weapon
1605,Wand_,Wand,Weapon
1606,Wand__,Wand,Weapon
1607,Staff,Staff,Weapon
1608,Staff_,Staff,Weapon
1609,Staff__,Staff,Weapon
1610,Arc_Wand,Arc Wand,Weapon
1611,Arc_Wand_,Arc Wand,Weapon
1612,Arc_Wand__,Arc Wand,Weapon
1613,Mighty_Staff,Mighty Staff,Weapon
1614,Blessed_Wand,Wand of Occult,Weapon
1615,Bone_Wand,Evil Bone Wand,Weapon
1616,Staff_Of_Wing,Wing Staff,Weapon
1617,Survival_Rod,Survivor's Rod (Dex),Weapon
1618,Survival_Rod_,Survivor's Rod (Dex),Weapon
1619,Survival_Rod2,Survivor's Rod (Int),Weapon
1620,Survival_Rod2_,Survivor's Rod (Int),Weapon
1621,Hypnotist's_Staff,Hypnotist's Staff,Weapon
1622,Hypnotist's_Staff_,Hypnotist's Staff,Weapon
1623,Mighty_Staff_C,Mighty Staff,Weapon
1624,Lich_Bone_Wand,Lich's Bone Wand,Weapon
1625,Healing_Staff,Healing Staff,Weapon
1626,Piercing_Staff,Piercing Staff,Weapon
1627,Staffy,Staffy,Weapon
1628,Survival_Rod_C,Refined Survivor's Rod,Weapon
1629,Walking_Stick,Gentleman's Staff,Weapon
1630,Release_Of_Wish,Release of Wish,Weapon
1631,Holy_Stick,Holy Stick,Weapon
1632,BF_Staff1,Warlock's Magic Wand,Weapon
1633,BF_Staff2,Warlock's Battle Wand,Weapon
1634,BF_Staff3,Strong Recovery Wand,Weapon
1635,BF_Staff4,Speedy Recovery Wand,Weapon
1636,Thorn_Staff,Thorn Staff of Darkness,Weapon
1637,Eraser,Eraser,Weapon
1638,Healing_Staff_C,Staff Of Healing,Weapon
1639,N_Rod,Novice Rod,Weapon
1640,Krieger_Onehand_Staff1,Glorious Arc Wand,Weapon
1641,Krieger_Onehand_Staff2,Glorious Cure Wand,Weapon
1642,Staff_Of_Darkness,Staff Of Darkness,Weapon
1643,Dead_Tree_Cane,Dead Tree Cane,Weapon
1644,Piercing_Staff_M,Staff of Piercing,Weapon
1645,Lich_Bone_Wand_M,Lich's Bone Wand,Weapon
1646,La'cryma_Stick,La'cryma Stick,Weapon
1647,Croce_Staff,Croce Staff,Weapon
1648,Staff_Of_Bordeaux,Staff Of Bordeaux,Weapon
1649,Rafini_Staff,Laphine Staff,Weapon
1650,P_Staff1,Eden Staff I,Weapon
1651,P_Staff2,Eden Staff II,Weapon
1652,Tourist_Staff,Tourist Staff,Weapon
1653,Staff_Of_Healing_C,Staff of Healing,Weapon
1654,Mental_Stick,Mental Stick,Weapon
1655,Adventure_Staff,Adventure Staff,Weapon
1656,Academy_Wand,Academy Wand,Weapon
1657,Wand_Of_Affection,Wand Of Affection,Weapon
1658,P_Staff3,Eden Staff III,Weapon
1659,Recovery_Light,Light of Recovery,Weapon
1660,Wand_Of_Affection2,Empowered Wand Of Affection,Weapon
1661,Mental_Destroyer,Mental Destroyer,Weapon
1662,Bone_Wand_,Evil Bone Wand,Weapon
1663,Staff_Of_Bordeaux_,Staff Of Bordeaux,Weapon
1664,Thorn_Staff_,Thorn Staff of Darkness,Weapon
1665,Piercing_Staff_,Piercing Staff,Weapon
1666,Healing_Staff_,Healing Staff,Weapon
1667,TE_Woe_Staff,TE Woe Staff,Weapon
1668,Sword_Stick,Sword Stick,Weapon
1669,Thanos_Staff,Thanos Staff,Weapon
1670,RWC_Memory_Staff,RWC Memory Staff,Weapon
1671,Staff_Of_Evil_Slayer,Evil Slayer Vanquisher Staff,Weapon
1672,Safety_Rod,Safety Rod,Weapon
1673,Half_BF_Staff4,Half BF Staff4,Weapon
1674,Half_BF_Staff2,Half BF Staff2,Weapon
1675,Walking_Stick_,Gentleman's Staff,Weapon
1676,Baculum_Daemonicum,Baculum Daemonicum,Weapon
1677,Ru_Blue_Wand,Ru Blue Wand,Weapon
1678,Ru_Gold_Wand,Ru Gold Wand,Weapon
1679,Rafini_Staff_S,Laphine Staff,Weapon
1680,Scarlet_Rod,Crimson Rod,Weapon
1681,Newbie_Foxtail,Short Foxtail Staff,Weapon
